customerid,record_date,monthlycharges,totalcharges,customerservicecalls,state,city,zipcode,latitude,longitude,gender,seniorcitizen,partner,dependents,tenuremonths,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,cltv
6979-TNDEU,2021-08-01,21.88800000,17880.90000000,0,California,Sacramento,95841,38.66044200,-121.34632100,Female,No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,2879
4813-HQMGZ,2021-08-01,102.88500000,84787.50000000,0,California,Ducor,93218,35.84606700,-119.00407300,Female,No,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,4969
1219-NNDDO,2021-08-01,87.60900000,75644.70000000,0,California,Los Angeles,90015,34.03922400,-118.26629300,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,4834
8734-DKSTZ,2021-08-01,97.98300000,97880.40000000,0,California,Winterhaven,92283,32.85294700,-114.85078400,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,4922
4123-FCVCB,2021-08-01,86.46900000,97407.30000000,0,California,Pinon Hills,92372,34.45932200,-117.62972900,Female,No,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,5942
6131-JLWZM,2021-08-01,23.14200000,31395.60000000,0,California,San Francisco,94131,37.74669900,-122.44283300,Female,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,5332
7103-IPXPJ,2021-08-01,113.31600000,576811.50000000,0,California,Inglewood,90305,33.95813400,-118.33090500,Male,No,Yes,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,6479
0463-TXOAK,2021-08-01,29.18400000,152133.00000000,0,California,Madison,95653,38.67427600,-121.96186600,Male,No,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),5662
7427-AUFPY,2021-08-01,22.40100000,114991.80000000,0,California,Hamilton City,95951,39.73276700,-122.04229800,Male,No,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),5708
6681-ZSEXG,2021-08-01,67.83000000,386374.50000000,0,California,Rancho Cordova,95742,38.59113400,-121.16158500,Male,No,Yes,No,56,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),5477
0533-UCAAU,2021-08-01,81.05400000,471971.40000000,0,California,Montgomery Creek,96065,40.87755200,-121.88588400,Male,Yes,Yes,No,57,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),5462
3863-QSTYI,2021-08-01,73.70100000,425841.30000000,0,California,Mission Viejo,92691,33.61194500,-117.66586700,Male,No,No,No,59,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,5687
9372-TXXPS,2021-08-01,68.22900000,397113.30000000,0,California,Burson,95225,38.18391800,-120.89881700,Female,No,Yes,No,60,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),4029
5578-NKCXI,2021-08-01,100.69905000,593201.10900000,3,California,South Gate,90280,33.94462400,-118.19261500,Female,No,Yes,Yes,58,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),4098
6736-DHUQI,2021-08-01,86.03808000,568003.51800000,3,California,Fairfax,94930,37.97175100,-122.61187300,Female,No,Yes,Yes,67,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),6072
6181-AXXYF,2021-08-01,25.11135000,188624.28600000,3,California,Pico Rivera,90660,33.98952400,-118.08929900,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),4185
6806-YDEUL,2021-08-01,17.56170000,9618.40800000,6,California,Sacramento,95817,38.55072200,-121.45731400,Female,Yes,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),3288
5949-HGVJL,2021-08-01,65.78883000,176472.57000000,6,California,Mccloud,96057,41.25132200,-122.10520900,Female,No,Yes,No,26,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2753
0635-WKOLD,2021-08-01,63.71745000,263132.80500000,6,California,Ceres,95307,37.55346900,-120.95282500,Male,No,Yes,No,40,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),5507
0515-YPMCW,2021-08-01,0.00000000,0.00000000,0,California,San Jose,95116,37.35028400,-121.85285500,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,3525
1541-ETJZO,2021-08-01,0.00000000,0.00000000,0,California,Wheatland,95692,39.04338700,-121.40983700,Male,No,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,2937
7503-ZGUZJ,2021-08-01,0.00000000,0.00000000,0,California,Riverside,92505,33.92090700,-117.48942600,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,4261
7384-GHBPI,2021-08-01,0.00000000,0.00000000,0,California,San Dimas,91773,34.10211900,-117.81553200,Male,No,Yes,No,3,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2987
1260-TTRXI,2021-08-01,0.00000000,0.00000000,0,California,Planada,95365,37.32972500,-120.30639900,Male,No,No,No,4,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,5834
4795-KTRTH,2021-08-01,0.00000000,0.00000000,0,California,San Diego,92122,32.85723000,-117.20977400,Female,Yes,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,4287
7967-HYCDE,2021-08-01,80.59800000,63087.60000000,0,California,Spring Valley,91978,32.73026400,-116.95096300,Male,No,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),4946
8792-AOROI,2021-08-01,74.67000000,64335.90000000,0,California,Glendora,91741,34.14649000,-117.84981500,Female,No,Yes,No,8,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,2985
8075-GXIUB,2021-08-01,22.62900000,20879.10000000,0,California,Spring Valley,91978,32.73026400,-116.95096300,Male,Yes,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),5601
8003-EWNDZ,2021-08-01,24.16800000,25382.10000000,0,California,Philo,95466,39.09410200,-123.50085300,Female,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,2066
6143-JQKEA,2021-08-01,52.21200000,49726.80000000,0,California,Adelanto,92301,34.66781500,-117.53618300,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),5586
5429-LWCMV,2021-08-01,101.63100000,120560.70000000,0,California,Gardena,90248,33.87648200,-118.28407700,Female,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,4041
0422-OHQHQ,2021-08-01,23.42700000,33738.30000000,0,California,Fresno,93722,36.78979000,-119.92989400,Female,No,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,3009
2507-QZPQS,2021-08-01,109.09800000,165425.40000000,0,California,La Mirada,90638,33.90204500,-118.00896100,Male,No,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,4999
3404-JNXAX,2021-08-01,92.05500000,469326.60000000,0,California,Ukiah,95482,39.13407500,-123.23422000,Female,No,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,6032
1960-UOTYM,2021-08-01,90.28800000,457858.20000000,0,California,Lakewood,90712,33.84052400,-118.14840300,Male,No,Yes,Yes,52,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,4509
3120-FAZKD,2021-08-01,27.41700000,140322.60000000,0,California,El Portal,95318,37.65455100,-119.82298400,Male,No,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),4039
4981-FLTMF,2021-08-01,74.32800000,420414.90000000,0,California,Springville,93265,36.24592600,-118.69313800,Female,No,Yes,Yes,57,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),4491
9661-JALZV,2021-08-01,28.15800000,173166.00000000,0,California,Atascadero,93422,35.45391200,-120.69461000,Female,No,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),5138
3507-GASNP,2021-08-01,22.74300000,135648.60000000,0,California,North Hollywood,91602,34.15136000,-118.36478600,Male,No,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,5316
6754-LZUKA,2021-08-01,82.08114000,500451.45000000,3,California,Big Sur,93920,36.09297500,-121.54982600,Male,No,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),4161
3893-JRNFS,2021-08-01,40.48254000,283717.67100000,3,California,Palmdale,93550,34.53623200,-118.08293500,Male,No,No,No,68,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),6270
2990-IAJSV,2021-08-01,93.34320000,672958.81500000,3,California,San Francisco,94110,37.75002100,-122.41520100,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),4200
8160-HOWOX,2021-08-01,60.20511000,41256.48600000,6,California,San Bernardino,92407,34.25006900,-117.39394900,Female,No,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4858
1310-QRITU,2021-08-01,45.30018000,82251.79800000,6,California,Hinkley,92347,34.98380800,-117.23930600,Female,No,No,No,18,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5877
4962-CHQPW,2021-08-01,17.87691000,48186.60300000,6,California,Greenville,95947,40.16038600,-120.83542800,Male,No,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,2941
5692-ICXLW,2021-08-01,81.68442000,256234.20900000,6,California,Escondido,92027,33.14126500,-116.96722100,Male,Yes,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,3493
1394-SUIUH,2021-08-01,76.68609000,330565.23000000,6,California,Mount Shasta,96067,41.33832000,-122.29075600,Female,Yes,Yes,No,44,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,2672
7908-QCBCA,2021-08-01,0.00000000,0.00000000,0,California,Atwater,95301,37.32123300,-120.65635400,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,2404
